symbol,primary_ticker,exchange,asset_type,market_cap,sector,industry,name
GSHRW,GSHRW.US,NASDAQ,Common Stock,,,,Gesher Acquisition Corp. II
GTEN,GTEN.US,NASDAQ,Common Stock,,,,"Gores Holdings X, Inc. Class A ordinary shares"
GTENU,GTENU.US,NASDAQ,Common Stock,,,,"Gores Holdings X, Inc. Units"
HCACR,HCACR.US,NASDAQ,Common Stock,,,,Hall Chadwick Acquisition Corp Rights
HLXC,HLXC.US,NASDAQ,Common Stock,,,,Helix Acquisition Corp. III Class A Ordinary Shares
HOLOW,HOLOW.US,NASDAQ,Common Stock,,,,MicroCloud Hologram Inc.
HOVRW,HOVRW.US,NASDAQ,Common Stock,,,,New Horizon Aircraft Ltd
HPAIW,HPAIW.US,NASDAQ,Common Stock,,,,Helport AI Limited Warrants
HSCSW,HSCSW.US,NASDAQ,Common Stock,,,,Heart Test Laboratories Inc. Warrant
HSPTR,HSPTR.US,NASDAQ,Common Stock,,,,Horizon Space Acquisition II Corp. Right
HTFB,HTFB.US,NYSE,Common Stock,,,,Horizon Technology Finance Corporation
HTFC,HTFC.US,NYSE,Common Stock,,,,HTFC
HTZWW,HTZWW.US,NASDAQ,Common Stock,,,,Hertz Global Hldgs New Equity Warrants
HUMAW,HUMAW.US,NASDAQ,Common Stock,,,,Humacyte Inc
HVIIR,HVIIR.US,NASDAQ,Common Stock,,,,Hennessy Capital Investment Corp. VII Rights
HVMC,HVMC.US,NASDAQ,Common Stock,,,,Highview Merger Corp. Class A Ordinary Share
HWCPZ,HWCPZ.US,NASDAQ,Common Stock,,,,Hancock Whitney Corporation - 6
IBACR,IBACR.US,NASDAQ,Common Stock,,,,IB Acquisition Corp. Right
ICUCW,ICUCW.US,NASDAQ,Common Stock,,,,LMF Acquisition Opportunities Inc
IINNW,IINNW.US,NASDAQ,Common Stock,,,,Inspira Technologies Oxy B.H.N. Ltd. Warrant
ILLRW,ILLRW.US,NASDAQ,Common Stock,,,,Triller Group Inc.
INVZW,INVZW.US,NASDAQ,Common Stock,,,,Innoviz Technologies Ltd
ISPOW,ISPOW.US,NASDAQ,Common Stock,,,,Thayer Ventures Acquisition Corporation
ITHA,ITHA.US,NASDAQ,Common Stock,,,,ITHAX Acquisition Corp III Class A Ordinary Shares
ITHAW,ITHAW.US,NASDAQ,Common Stock,,,,ITHAX Acquisition Corp III Warrants
IVDAW,IVDAW.US,NASDAQ,Common Stock,,,,Iveda Solutions Inc. Warrant
JENA,JENA.US,NYSE,Common Stock,,,,Jena Acquisition Corporation II
JFBRW,JFBRW.US,NASDAQ,Common Stock,,,,Jeffs' Brands Ltd
JSPRW,JSPRW.US,NASDAQ,Common Stock,,,,Jasper Therapeutics Inc
K-W,K-W.US,NYSE,Common Stock,,,,K-W
KBONW,KBONW.US,NASDAQ,Common Stock,,,,Karbon Capital Partners Corp. Warrant
KCHV,KCHV.US,NASDAQ,Common Stock,,,,Kochav Defense Acquisition Corp. Class A Ordinary Shares
KCHVU,KCHVU.US,NASDAQ,Common Stock,,,,Kochav Defense Acquisition Corp.
KFIIR,KFIIR.US,NASDAQ,Common Stock,,,,K&F Growth Acquisition Corp. II Rights
KITTW,KITTW.US,NASDAQ,Common Stock,,,,Nauticus Robotics Inc.
KKRS,KKRS.US,NYSE,Common Stock,,,,KKRS
KKRT,KKRT.US,NYSE,Common Stock,,,,KKR & Co. Inc. 6.875% Subordina
KLTOW,KLTOW.US,NASDAQ,Common Stock,,,,"Klotho Neurosciences, Inc"
KMPB,KMPB.US,NYSE,Common Stock,,,,Kemper Corporation 5.875% Fixed
KPLTW,KPLTW.US,NASDAQ,Common Stock,,,,Katapult Holdings Equity Warrants Exp 09 June 2026
KRAQU,KRAQU.US,NASDAQ,Common Stock,,,,KRAKacquisition Corp Unit
KVACW,KVACW.US,NASDAQ,Common Stock,,,,Keen Vision Acquisition Corporation Warrant
KWMWW,KWMWW.US,NASDAQ,Common Stock,,,,K Wave Media Ltd.
LCFYW,LCFYW.US,NASDAQ,Common Stock,,,,Locafy Limited
LIDRW,LIDRW.US,NASDAQ,Common Stock,,,,AEye Inc
LOTWW,LOTWW.US,NASDAQ,Common Stock,,,,Lotus Technology Inc. Warrants
LPAAW,LPAAW.US,NASDAQ,Common Stock,,,,Launch One Acquisition Corp. Warrant
LUCYW,LUCYW.US,NASDAQ,Common Stock,,,,Innovative Eyewear Inc
LUXHQ,LUXHQ.US,NASDAQ,Common Stock,,,,LuxUrban Hotels Inc.
MACIW,MACIW.US,NASDAQ,Common Stock,,,,Melar Acquisition Corp. I Warrant
MAPSW,MAPSW.US,NASDAQ,Common Stock,,,,WM Technology Inc
MBAVW,MBAVW.US,NASDAQ,Common Stock,,,,M3-Brigade Acquisition V Corp. Warrant
MBVI,MBVI.US,NASDAQ,Common Stock,,,,M3-Brigade Acquisition VI Corp. Class A Ordinary Shares
MCGA,MCGA.US,NASDAQ,Common Stock,,,,MCGA
MCOMW,MCOMW.US,NASDAQ,Common Stock,,,,Micromobility.com Inc.
MDAIW,MDAIW.US,NASDAQ,Common Stock,,,,Spectral AI Inc
MESH,MESH.US,NASDAQ,Common Stock,,,,Meshflow Acquisition Corp. Class A Ordinary Shares
MESHW,MESHW.US,NASDAQ,Common Stock,,,,Meshflow Acquisition Corp. Warrants
METCI,METCI.US,NASDAQ,Common Stock,,,,"Ramaco Resources, Inc. 8.250% Senior Notes due 2030"
METCZ,METCZ.US,NASDAQ,Common Stock,,,,"Ramaco Resources, Inc. 8.375% Senior Notes due 2029"
MFAN,MFAN.US,NYSE,Common Stock,,,,"MFA Financial, Inc. 8.875%"
MFAO,MFAO.US,NYSE,Common Stock,,,,"MFA Financial, Inc. 9.000%"
MGRB,MGRB.US,NYSE,Common Stock,,,,"Affiliated Managers Group, Inc."
MGRD,MGRD.US,NYSE,Common Stock,,,,"Affiliated Managers Group, Inc."
MGRE,MGRE.US,NYSE,Common Stock,,,,"Affiliated Managers Group, Inc."
MHNC,MHNC.US,NYSE,Common Stock,,,,Maiden Holdings North America Ltd ELKS
MITN,MITN.US,NYSE,Common Stock,,,,AG Mortgage Investment Trust Inc
MITP,MITP.US,NYSE,Common Stock,,,,"AG Mortgage Investment Trust, Inc"
MKCV,MKCV.US,NYSE,Common Stock,,,,"McCormick & Company, Incorporated"
MKDW,MKDW.US,NASDAQ,Common Stock,,,,MKDWELL Tech Inc. Ordinary Share
MKDWW,MKDWW.US,NASDAQ,Common Stock,,,,MKDWELL Tech Inc. Warrants
MLAAU,MLAAU.US,NASDAQ,Common Stock,,,,Mountain Lake Acquisition Corp. II Units
MLAC,MLAC.US,NASDAQ,Common Stock,,,,Mountain Lake Acquisition Corp. Class A Ordinary Shares
MLACR,MLACR.US,NASDAQ,Common Stock,,,,Mountain Lake Acquisition Corp. Right
MLACU,MLACU.US,NASDAQ,Common Stock,,,,Mountain Lake Acquisition Corp. Units
MLECW,MLECW.US,NASDAQ,Common Stock,,,,Moolec Science SA Warrant
MNTSW,MNTSW.US,NASDAQ,Common Stock,,,,Momentus Inc
MOBBW,MOBBW.US,NASDAQ,Common Stock,,,,Mobilicom Limited Warrants
MOBXW,MOBXW.US,NASDAQ,Common Stock,,,,Mobix Labs Inc
MONDQ,MONDQ.US,NASDAQ,Common Stock,,,,Mondee Holdings Inc.
MRNOW,MRNOW.US,NASDAQ,Common Stock,,,,Murano Global Investments PLC Warrants
MSAIW,MSAIW.US,NASDAQ,Common Stock,,,,Infrared Cameras Holdings Inc
MSPRW,MSPRW.US,NASDAQ,Common Stock,,,,MSP Recovery Inc
MSPRZ,MSPRZ.US,NASDAQ,Common Stock,,,,MSP Recovery Inc.
MTEKW,MTEKW.US,NASDAQ,Common Stock,,,,Maris-Tech Ltd. Warrants
MUZEU,MUZEU.US,NASDAQ,Common Stock,,,,Muzero Acquisition Corp Unit
MVSTW,MVSTW.US,NASDAQ,Common Stock,,,,Microvast Holdings Inc
MYPSW,MYPSW.US,NASDAQ,Common Stock,,,,PLAYSTUDIOS Inc
NAKAW,NAKAW.US,NASDAQ,Common Stock,,,,"Kindly MD, Inc."
NAMSW,NAMSW.US,NASDAQ,Common Stock,,,,NewAmsterdam Pharma Company N.V. Warrant
NCPLW,NCPLW.US,NASDAQ,Common Stock,,,,Netcapital Inc
NEWTH,NEWTH.US,NASDAQ,Common Stock,,,,"NewtekOne, Inc. 8.625% Fixed Rate Senior Notes due 2029"
NHIC,NHIC.US,NASDAQ,Common Stock,,,,NewHold Investment Corp III Class A Ordinary Shares
NHICU,NHICU.US,NASDAQ,Common Stock,,,,NewHold Investment Corp III Units
NIQ,NIQ.US,NYSE,Common Stock,,,,NIQ Global Intelligence plc
NIVFW,NIVFW.US,NASDAQ,Common Stock,,,,NewGenIvf Group Limited Warrants
NIXXW,NIXXW.US,NASDAQ,Common Stock,,,,"Nixxy, Inc."
NMHIW,NMHIW.US,NASDAQ,Common Stock,,,,Nature's Miracle Holding Inc. Warrants
NMKBP,NMKBP.US,NYSE,Common Stock,,,,Niagara Mohawk Power Corp
NMP,NMP.US,NASDAQ,Common Stock,,,,NMP
NNAVW,NNAVW.US,NASDAQ,Common Stock,,,,NextNav Inc. Warrant
NOEMR,NOEMR.US,NASDAQ,Common Stock,,,,CO2 Energy Transition Corp. Right
NOEMW,NOEMW.US,NASDAQ,Common Stock,,,,CO2 Energy Transition Corp. Warrant
NRSNW,NRSNW.US,NASDAQ,Common Stock,,,,NeuroSense Therapeutics Ltd. Warrant
NRXPW,NRXPW.US,NASDAQ,Common Stock,,,,NRx Pharmaceuticals Inc
NTRBW,NTRBW.US,NASDAQ,Common Stock,,,,Nutriband Inc. Warrant
NTWOW,NTWOW.US,NASDAQ,Common Stock,,,,Newbury Street II Acquisition Corp Warrant
NUKKW,NUKKW.US,NASDAQ,Common Stock,,,,Nukkleus Inc
NVAWW,NVAWW.US,NASDAQ,Common Stock,,,,Nova Minerals Limited Warrant
NVNIW,NVNIW.US,NASDAQ,Common Stock,,,,Nvni Group Limited Warrants
NVVEW,NVVEW.US,NASDAQ,Common Stock,,,,Nuvve Holding Corp
NXPLW,NXPLW.US,NASDAQ,Common Stock,,,,NextPlat Corp
OACCW,OACCW.US,NASDAQ,Common Stock,,,,Oaktree Acquisition Corp. III Life Sciences Warrant
OAKUR,OAKUR.US,NASDAQ,Common Stock,,,,Oak Woods Acquisition Corporation Right
OFSSO,OFSSO.US,NASDAQ,Common Stock,,,,OFS Capital Corporation 7.50% Notes due 2028
ONFOW,ONFOW.US,NASDAQ,Common Stock,,,,Onfolio Holdings Inc. Warrant
ONMDW,ONMDW.US,NASDAQ,Common Stock,,,,OneMedNet Corp.
OPENL,OPENL.US,NASDAQ,Common Stock,,,,OPENDOOR TECHNOLOGIES INC SERIES A
OPENW,OPENW.US,NASDAQ,Common Stock,,,,Opendoor Technologies Inc.
OPENZ,OPENZ.US,NASDAQ,Common Stock,,,,OPENDOOR TECHNOLOGIES INC SERIES Z
OPTXW,OPTXW.US,NASDAQ,Common Stock,,,,Syntec Optics Holdings Inc.
ORGNW,ORGNW.US,NASDAQ,Common Stock,,,,Origin Materials Inc Warrant
OSRHW,OSRHW.US,NASDAQ,Common Stock,,,,"OSR Holdings, Inc."
OUSTZ,OUSTZ.US,NASDAQ,Common Stock,,,,"Ouster, Inc. Warrants"
OXBRW,OXBRW.US,NASDAQ,Common Stock,,,,Oxbridge Re Holdings Equity Warrant
OXLCG,OXLCG.US,NASDAQ,Common Stock,,,,Oxford Lane Capital Corp. 7.95% Notes due 2032
OXLCI,OXLCI.US,NASDAQ,Common Stock,,,,Oxford Lane Capital Corp. 8.75% Notes due 2030
OXSQH,OXSQH.US,NASDAQ,Common Stock,,,,Oxford Square Capital Corp. 7.75% Notes due 2030
